,Unnamed: 0,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
2624,1788,58.89341142869189,0.7068420386998862,30.07818135829012,48.59768454112388,9.27818177985751,41,0.9268292682926829,0.20048691033261667,0.5383837106361452,0.23741621348172506,0.009991147084861516,161587.63414634147,26.80975609756098,28.358536585365844,0.8975609756097562,0.6246341463414632,3122.6260162601634,2868.7967479674794
2625,1024,47.934769899565275,0.48869959526307893,30.194500824464093,27.858934192774697,9.711587468145703,12,0.9166666666666666,0.1989207015439964,0.27042422425423474,0.3798530954879328,0.11272672762704243,92498.66666666669,12.441666666666665,28.73333333333333,0.8691666666666666,0.46,825.0555555555555,897.3888888888887
2626,3004,61.62082716414964,0.3973245484157537,30.168352087651762,34.7628220313888,9.854012437074326,12,0.6666666666666666,0.0978185766459382,0.7544171355246274,0.08380219129404798,0.0,86689.0,10.175,27.075,0.8174999999999999,0.3475,552.4166666666666,552.4166666666666
2627,3026,58.024759378876674,0.3828671343628353,30.139266800701545,30.827783719040077,9.255165333447406,16,0.875,0.02652179492663729,0.4740984728579373,0.4396201394533088,0.0,94409.75,12.24375,28.19375,0.8518749999999999,0.4543749999999999,836.1875,890.4375000000003
2628,2123,65.18524614582557,0.62156872967404,29.908694111367645,51.26095305479009,9.935453439586905,62,0.8225806451612904,0.25555472803555024,0.3724088279834165,0.23790372632258386,0.08100593331843797,146761.26229508198,27.99016393442623,28.91147540983607,0.8893442622950821,0.6027868852459013,3129.530054644809,3176.715846994535
2629,3387,40.55,0.53,30.395,24.55,10.0,1,0.0,0.0,0.0,1.0,0.0,133098.0,4.5,21.0,0.93,0.58,75.0,75.0
2630,3652,63.64573291189253,0.6237376531015407,29.888194389569346,49.3355985776373,10.0,12,0.5,0.41999209798498616,0.057026208349795875,0.2449624654286843,0.0,91151.0,12.474999999999996,28.99166666666667,0.8775000000000001,0.4591666666666666,808.361111111111,808.3611111111113
2631,1025,47.65684474123539,0.723839732888147,30.1556469115192,42.244824707846405,9.588480801335557,3,0.6666666666666666,0.2057595993322204,0.0,0.7942404006677797,0.0,203908.0,6.3,23.133333333333336,0.9733333333333332,0.77,363.83333333333326,363.83333333333326
2632,2883,65.40291966531296,0.6580694320445962,29.97812127777715,52.9133009924113,9.973726686772569,471,0.8492569002123143,0.2475475519069757,0.2856435158470064,0.34502215641229433,0.055396474571842304,150378.70021413275,26.402355460385465,28.177730192719423,0.88845824411135,0.6079014989293369,3179.705924339754,3218.814336917557
2633,523,69.60890118759369,0.6552934394096622,29.809591836734697,57.6694569353165,10.814020523463624,5,0.6,0.04531304047042546,0.0,0.9546869595295744,0.0,184960.4,6.58,21.9,0.96,0.7140000000000001,306.73333333333335,306.73333333333335
2634,2723,65.4435450374693,0.6461482492472624,29.974458983447036,52.36372576738432,9.949106770704294,455,0.8285714285714286,0.2411879410401625,0.22050186399130234,0.4244741037830717,0.054150477584010766,144790.65168539327,27.5970786516854,28.45595505617969,0.8857752808988776,0.5962471910112359,3352.5760299625463,3312.457399103142
2635,1520,72.38896903838321,0.5125455656517349,29.94405762350107,52.8590294383336,17.925872788139642,78,0.8333333333333334,0.30016207024815345,0.11719538764015093,0.5160874647962166,0.005008236356873373,122178.93333333332,9.576666666666666,24.58666666666668,0.8936666666666665,0.5435000000000002,510.0583333333333,490.4425287356319
2636,804,48.2,0.0,29.95,51.8,11.5,1,0.0,1.0,0.0,0.0,0.0,171988.0,6.3,23.2,0.96,0.73,197.5,197.5
2637,350,61.22276657060518,0.2678770413064361,29.9514121037464,26.60326609029779,10.0,3,1.0,0.0,0.6628242074927954,0.3371757925072046,0.0,98750.0,15.3,31.0,0.94,0.6,1153.3333333333333,819.5
2638,2406,56.9117236017528,0.6322012439334683,30.084901333458987,43.14234792442161,9.565226405314988,138,0.8623188405797102,0.19494887621919613,0.1986335579324318,0.4498044574282618,0.06907600245017198,141488.29104477612,28.257462686567173,28.543283582089572,0.8826865671641805,0.5885074626865661,3412.203980099501,3224.4577114427843
2639,2895,65.59294879276611,0.6409239232260064,29.98637873091734,52.21870429296733,9.934069508987578,448,0.859375,0.21206527448023368,0.2330371430589811,0.3916345955973819,0.06711735093479616,154523.75169300227,26.079683972911997,28.146049661399488,0.8930699774266382,0.6202708803611743,2987.294206170052,3016.2136945071547
2640,2216,53.45,0.925,30.1025,51.27500000000001,2.25,1,1.0,1.0,0.0,0.0,0.0,93450.0,8.2,23.7,0.71,0.27,485.66666666666674,1153.3333333333333
2641,1901,65.61836805362792,0.6644458169100086,29.98291193166048,53.304599872314455,9.936320296452562,490,0.8448979591836735,0.26061733192694164,0.22215899628046407,0.4115194581691001,0.049947260311996894,151322.49272349273,26.802286902286912,28.109771309771233,0.8922869022869043,0.611538461538461,3246.0873180873155,3210.1219681219677
2642,2463,65.04829044460033,0.588479282829844,29.97125858468172,49.24233154605512,9.830271182813595,184,0.7391304347826086,0.13985947475419971,0.44740408735867226,0.30545218931675244,0.04029103705729198,141869.42696629214,27.151123595505613,27.608988764044962,0.8764606741573044,0.5821910112359542,3523.586142322097,3557.808988764043
2643,3053,48.67794836008374,0.7237578506629448,30.204759246336355,39.62205163991626,10.0,2,0.0,0.0,0.0,1.0,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,322.25
2644,2724,76.70277660806401,0.5135776134329929,29.85860340562164,55.167238656700704,10.0,13,0.4615384615384616,0.032529739972628695,0.1931255921675966,0.6164333087693441,0.07779766291188546,91327.84615384617,12.146153846153846,28.58461538461539,0.8646153846153845,0.4446153846153846,783.5384615384613,685.9487179487179
