,bike_group,duration,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
1255,257_5,8089,56.80791197923105,0.3173099270614415,30.086211521819752,39.64148844109284,15.408208678452219,9,0.5555555555555556,0.04895537149214983,0.6982321671405612,0.2528124613672889,0.0,214548.0,6.299999999999999,23.111111111111107,0.9777777777777779,0.7833333333333333,419.27777777777777,391.55555555555554
1256,257_6,8490,57.16464075382804,0.6245088339222616,30.102487043580684,44.95864546525324,19.650824499411073,17,0.9411764705882353,0.2959952885747939,0.06254416961130742,0.5223792697290931,0.08115429917550059,197160.4705882353,6.288235294117645,23.05294117647059,0.9688235294117649,0.7529411764705882,335.0098039215686,328.96078431372547
1257,257_7,44405,68.164960027024,0.5720581015651388,30.01646909131853,50.83317644409413,9.940907555455468,76,0.8421052631578947,0.10068685958788424,0.2717261569643058,0.25402544758473145,0.27623015426190745,97813.13043478261,10.930434782608701,26.98695652173912,0.8586956521739132,0.45086956521739163,651.9178743961355,646.9857142857145
1258,258_0,4556,70.7,0.7150000000000001,29.904999999999998,60.8,10.0,1,0.0,0.0,0.0,1.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1259,258_1,1224,71.6,0.31,30.1,39.2,10.0,1,1.0,0.0,1.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1260,258_2,4323,57.401457321304655,0.6514075873236177,30.03913312514458,43.92987508674531,8.335415220911404,13,1.0,0.3756650474207726,0.13416608836456165,0.2634744390469581,0.09646079111727966,94631.23076923077,13.176923076923078,29.23076923076923,0.8846153846153845,0.49692307692307686,917.0769230769231,850.3076923076923
1261,258_3,531,55.0,0.8600000000000001,30.07,51.1,3.0,2,0.5,1.0,0.0,0.0,0.0,96100.0,11.75,27.35,0.825,0.435,819.5,1153.3333333333333
1262,258_4,6333,49.35927680404232,0.5963082267487763,29.997849360492655,35.575856624032845,9.872730143691774,9,0.5555555555555556,0.053687036159797884,0.0,0.4378651507974104,0.31375335543975996,92057.0,11.85,28.125,0.8500000000000001,0.4325,769.4166666666667,852.8749999999999
1263,258_5,8465,49.31453632604843,0.602502658003544,30.224877141169525,35.76599527466037,6.967808623744832,7,1.0,0.6541051388068517,0.1312463083284111,0.16751329001772003,0.04713526284701713,88033.42857142857,10.4,27.114285714285717,0.8185714285714286,0.36,590.5714285714286,714.5714285714284
1264,258_6,514,46.9,0.83,30.26,42.1,10.0,1,1.0,1.0,0.0,0.0,0.0,98750.0,15.3,31.0,0.94,0.6,1153.3333333333333,485.66666666666674
1265,258_7,7629,60.738910735351936,0.4210112727749378,30.044421287193604,32.87154279722113,10.0,6,0.6666666666666666,0.0,0.6527723161620134,0.0,0.03853716083366103,95171.33333333333,14.183333333333332,30.3,0.9183333333333333,0.5433333333333333,1008.6666666666665,1042.0555555555554
1266,258_8,53567,68.20393899229003,0.6170968133365693,29.957987006925897,53.31061754438367,10.115892247092427,94,0.851063829787234,0.18910896634121754,0.1329549909459182,0.31506337857262867,0.1948214385722553,91857.57303370787,10.606741573033712,26.970786516853924,0.8169662921348311,0.38382022471910154,680.2546816479401,660.7490636704122
